capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
60;1444;834;317;49;38;8;35;29
52;545;51;186;52;2;6;44;32
54;1387;406;234;54;17;6;37;22
35;619;322;204;34;17;19;27;22
24;219;68;79;10;0;2;7;7
15;165;8;59;11;0;3;8;4
18;386;127;73;18;1;5;15;15
24;938;667;159;20;12;5;12;9
32;1122;648;191;30;20;10;19;13
11;287;75;68;7;4;1;4;3
14;776;467;51;14;9;4;13;9
161;3160;1529;805;154;86;27;139;94
30;251;161;94;11;9;3;8;8
60;629;425;277;46;33;3;24;20
48;368;89;245;27;9;2;14;13
110;1623;753;723;108;56;14;96;73
8;134;22;41;4;0;0;2;1
40;359;172;123;16;9;4;12;10
40;245;195;136;26;25;6;21;16
24;242;80;87;22;4;2;19;13
52;654;73;232;49;2;7;39;14
25;123;38;36;5;0;0;3;2
144;2667;899;720;138;46;4;137;111
30;527;85;97;27;2;1;21;16
35;931;509;181;33;17;11;24;19
35;1303;575;163;31;12;12;20;15
15;307;48;45;15;3;2;15;13
33;355;71;183;25;4;5;11;6
14;335;321;87;15;15;1;12;8
10;104;2;32;6;0;0;4;2
22;358;31;134;18;0;2;13;5
18;169;4;68;17;0;3;15;14
90;1143;87;715;88;4;14;73;52
104;2106;165;801;106;3;8;95;71
35;497;318;248;23;15;1;21;11
15;68;59;40;12;8;0;3;2
35;548;310;154;35;20;9;35;28
45;399;233;159;37;19;2;30;21
14;151;6;74;14;1;1;9;9
15;89;11;46;3;0;0;2;0
28;332;31;137;26;1;2;17;13
48;303;31;146;32;0;11;30;26
24;223;33;92;21;4;1;8;7
23;207;140;97;15;10;2;10;10
33;645;276;161;33;15;4;30;27
33;250;111;127;13;4;0;6;5
33;319;176;157;18;6;1;16;13
34;398;319;125;35;30;2;28;20
40;374;150;178;39;13;1;20;20
30;120;78;74;28;24;6;22;22
32;393;163;112;28;11;3;15;10
78;635;281;448;31;9;5;20;12
48;426;258;305;24;9;1;21;7
115;694;178;498;116;29;15;95;59
18;133;100;36;17;15;3;14;10
18;348;176;87;19;15;2;18;17
68;1986;1395;377;54;45;13;37;23
24;692;66;109;24;0;3;22;20
24;350;39;79;9;1;5;8;7
24;86;3;49;5;0;1;5;5
58;872;437;267;61;26;27;46;43
50;536;68;383;36;2;4;26;21
14;168;109;72;13;10;2;7;6
14;154;30;52;10;0;1;8;6
28;274;161;121;26;15;6;18;18
28;268;31;92;29;3;5;20;20
24;866;577;128;24;22;2;19;16
30;504;289;114;30;20;3;27;23
12;112;13;41;10;2;5;8;8
28;206;82;73;32;11;9;29;24
15;78;6;48;6;1;1;5;4
28;419;335;103;25;19;3;8;7
35;1315;753;154;33;21;2;25;15
15;78;2;59;10;0;3;6;6
35;580;290;156;29;19;8;23;17
35;366;170;139;30;15;6;21;18
11;97;45;37;5;2;2;5;5
15;41;33;26;3;3;0;1;1
35;247;169;135;28;19;8;17;8
18;233;51;73;15;2;1;9;4
26;117;50;83;16;7;2;13;10
36;168;26;103;10;2;1;8;6
40;142;74;66;18;9;0;10;2
33;949;786;171;26;22;12;20;20
66;1289;752;272;67;49;29;58;56
10;163;24;42;4;0;0;2;1
80;1246;99;392;83;7;16;75;54
30;1028;532;127;30;18;3;25;5
40;790;351;144;38;18;7;36;31
38;659;429;136;39;27;4;36;15
10;48;10;28;2;0;0;1;1
12;30;0;23;1;0;0;0;0
18;42;15;35;6;3;1;6;6
18;114;77;54;9;7;1;8;8
35;275;106;128;35;11;5;31;28
